 477; 896
  84, 515; 906
 891, 966, 102; 896
 701, 854, 412, 952; 909
 143, 914, 394, 740, 781; 898
  63, 271, 154, 806, 408, 608; 899
 635, 219, 387, 747, 826, 972, 149; 901
 883, 370, 466, 134, 893, 173, 551,  43; 902
 481,  50, 232, 879, 112, 691,  35,   6, 574; 891
 971, 824,  87, 903, 163, 172, 826, 380, 550, 269; 899
 445, 949, 468, 200, 429, 649, 283, 454, 402, 364, 273; 902
 936, 171, 347, 818, 522, 604, 178, 132,   6, 406, 716, 245; 884
 377, 207, 865, 386, 341, 611, 622, 670,  61, 783, 280, 371,  63; 908
 806,  72, 532,  95, 816, 954, 732, 859, 190, 885, 192, 912, 214,  23; 915
 739, 546, 613, 957, 125, 349, 168, 481,  86, 526, 404,  66, 315,  74, 191; 895
 196, 645, 668, 689, 322, 840, 977,  13, 580, 345, 349, 100, 167, 477, 541,  83; 902
 795, 127, 323, 955, 828, 287, 236,  63, 555, 518, 371, 629, 363, 383, 696, 643, 211; 913
 805, 232, 373, 374, 420, 324, 413, 953, 500, 431, 635, 737, 531, 677, 293, 342, 461,  41; 911
 240, 793, 722, 689,  72, 547, 158, 324, 773,  28, 243, 269, 464, 293, 145, 120, 119, 459, 598; 908
 599, 310, 210, 779,  76, 807, 224, 585, 397, 911, 898, 218, 466, 441, 788, 283, 184, 236, 198, 274; 910
