 161; 895
 161,  83; 900
 161,  83, 122; 894
 161,  83, 122, 108; 906
 161,  83, 122, 108,  87; 900
 161,  83, 122, 108,  87,  63; 889
 161,  83, 122, 108,  87,  63,  14; 900
 161,  83, 122, 108,  87,  63,  14, 250; 903
 161,  83, 122, 108,  87,  63,  14, 250, 184; 902
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435; 914
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6; 896
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212; 892
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130; 913
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378; 905
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378,  85; 898
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378,  85,  22; 903
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378,  85,  22, 115; 910
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378,  85,  22, 115, 167; 921
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378,  85,  22, 115, 167, 334; 911
 161,  83, 122, 108,  87,  63,  14, 250, 184, 435,   6, 212, 130, 378,  85,  22, 115, 167, 334,  88; 923
