 231; 898
 199, 371; 899
  25, 156, 914; 905
 528, 961, 290, 171; 891
  66, 552,   4, 531, 426; 899
  35, 760, 763, 335, 564, 634; 894
 687, 732, 343, 444, 942, 726,  64; 908
 271, 669, 969, 298, 152, 208, 437, 211; 898
 273, 122,  64, 432, 700,  82,  11,  74, 718; 909
 226, 738, 234, 382, 334, 286, 618, 662, 312, 214; 889
 282, 241, 993, 234, 156, 598, 874, 602, 134, 232,  51; 904
 553, 965,  14, 153,  44, 298, 799, 962, 762, 929, 983, 203; 904
 842, 731, 280, 689, 268,  27, 229, 665, 143, 607,  61, 725, 942; 905
 920,  89, 156, 605,1003, 393, 609, 877, 935, 656, 212, 286, 375, 449; 909
 937,  38, 601, 522, 733,  72, 291, 695, 147, 530, 280, 813, 265, 369,  23; 906
 175, 185, 520, 643,  30, 857, 146, 251, 108,  18, 282, 673, 864,   3, 287, 645; 909
 321, 495,  22, 232, 282, 313, 244, 983, 778, 171, 404,  39, 290, 106, 709,  86, 850; 913
 474, 500, 395, 555, 606, 830, 237, 467, 517, 982, 528, 270,  75, 865, 643, 157, 873, 945; 919
  22, 122, 324, 827, 230, 228, 839,  74,  39, 295, 597, 190, 571,  19, 491, 461, 150,  84, 760; 922
 161, 316,  16,  75,  25,  44, 121,  65, 120, 122,  73, 892, 262, 427, 944, 735, 497, 289,  57, 314; 920
